
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2022,6,4,24.85,23.48,24.16,25.0,1.54,25.65,24.1
2022,6,5,24.99,22.37,23.68,25.3,3.69,27.34,23.65
2022,6,6,25.09,22.97,24.03,25.54,4.14,27.58,23.44
2022,6,7,25.36,22.94,24.15,25.6,3.65,27.53,23.89
2022,6,8,25.29,22.22,23.76,25.5,4.52,27.94,23.42
2022,6,9,25.48,22.78,24.13,25.65,4.2,27.98,23.76
2022,6,10,25.67,23.26,24.47,25.92,4.47,28.38,23.91
2022,6,11,25.61,23.4,24.51,25.7,4.41,28.26,23.84
2022,6,12,25.56,22.46,24.01,25.8,4.76,28.42,23.66
2022,6,13,25.3,21.79,23.55,25.42,4.41,28.04,23.63
2022,6,14,24.69,21.76,23.23,25.1,4.63,27.37,22.73
2022,6,15,24.87,22.19,23.53,25.26,3.94,27.25,23.31
2022,6,16,24.88,22.12,23.5,25.4,4.23,27.44,23.21
2022,6,17,24.91,22.23,23.57,25.27,4.08,27.38,23.3
2022,6,18,25.1,22.12,23.61,25.44,4.46,27.72,23.26
2022,6,19,25.26,22.34,23.8,25.44,4.12,27.8,23.68
2022,6,20,25.61,22.91,24.26,25.62,3.29,27.65,24.37
2022,6,21,25.25,21.06,23.15,25.01,4.06,27.7,23.64
2022,6,22,25.15,23.76,24.46,25.22,2.55,26.61,24.06
2022,6,23,25.58,23.57,24.58,25.76,3.54,27.68,24.14
2022,6,24,25.05,22.44,23.75,25.03,3.83,27.09,23.26
2022,6,25,24.46,21.17,22.82,24.59,4.33,27.07,22.74
2022,6,26,24.68,22.24,23.46,24.99,4.93,27.57,22.64
2022,6,27,24.4,22.47,23.44,24.73,3.82,26.78,22.96
2022,6,28,24.54,22.23,23.38,24.84,3.79,26.83,23.05
2022,6,29,24.82,22.75,23.79,25.12,3.41,27.05,23.65
2022,6,30,24.89,23.48,24.19,25.11,3.42,26.9,23.48
2022,7,1,25.9,24.02,24.96,26.01,3.27,27.98,24.7
2022,7,2,25.47,23.25,24.36,25.4,3.59,27.55,23.97
2022,7,3,24.55,22.11,23.33,24.52,2.45,25.9,23.45
2022,7,4,24.9,22.44,23.67,24.87,3.61,27.12,23.51
2022,7,5,24.72,20.95,22.83,24.47,3.93,26.99,23.06
2022,7,6,24.88,21.96,23.42,24.79,3.9,27.12,23.22
2022,7,7,24.8,22.64,23.72,24.76,2.9,26.6,23.7
2022,7,8,24.6,22.18,23.39,24.61,3.4,26.69,23.29
2022,7,9,24.62,21.88,23.25,24.54,4.37,27.06,22.69
2022,7,10,24.43,21.3,22.86,24.37,3.64,26.59,22.95
2022,7,11,24.42,21.77,23.09,24.44,4.43,27.01,22.58
2022,7,12,24.87,21.53,23.2,24.76,4.55,27.6,23.05
2022,7,13,24.54,22.11,23.32,24.62,3.75,26.88,23.13
2022,7,14,24.28,21.14,22.71,24.35,3.87,26.73,22.86
2022,7,15,23.97,21.55,22.76,24.27,3.86,26.26,22.4
2022,7,16,24.09,22.33,23.21,24.33,3.64,26.27,22.63
2022,7,17,23.76,21.21,22.48,23.91,3.34,25.65,22.31
2022,7,18,23.84,20.72,22.28,23.88,5.02,26.62,21.61
2022,7,19,24.24,21.33,22.78,24.37,3.62,26.52,22.9
2022,7,20,24.41,21.55,22.98,24.49,4.78,27.0,22.22
2022,7,21,24.39,22.43,23.4,24.62,3.52,26.67,23.15
2022,7,22,24.38,21.74,23.06,24.44,3.38,26.49,23.12
2022,7,23,24.39,21.77,23.08,24.5,3.77,26.81,23.04
2022,7,24,23.87,21.21,22.55,24.05,3.86,26.18,22.32
2022,7,25,23.65,20.07,21.86,23.69,4.63,26.34,21.72
2022,7,26,23.29,20.48,21.88,23.63,4.64,25.68,21.04
2022,7,27,23.91,20.87,22.39,24.11,4.72,26.75,22.04
2022,7,28,24.2,21.83,23.01,24.62,4.72,26.94,22.22
2022,7,29,24.44,22.13,23.29,24.85,4.48,27.01,22.54
2022,7,30,24.75,22.87,23.8,24.91,3.44,26.84,23.4
2022,7,31,24.82,22.5,23.65,24.96,3.16,26.9,23.75
2022,8,1,24.42,21.73,23.08,24.66,3.8,26.83,23.03
2022,8,2,24.36,22.95,23.65,24.7,3.05,26.15,23.09
2022,8,3,24.83,23.05,23.94,24.93,3.54,26.8,23.27
2022,8,4,24.6,22.26,23.44,24.94,3.63,26.69,23.07
2022,8,5,24.09,21.31,22.7,24.36,4.18,26.58,22.4
2022,8,6,24.26,21.14,22.69,24.41,4.88,26.99,22.11
2022,8,7,24.14,20.87,22.51,24.13,4.57,26.61,22.04
2022,8,8,23.73,19.85,21.79,23.76,5.0,26.72,21.72
2022,8,9,23.59,20.24,21.91,23.91,5.16,26.73,21.58
2022,8,10,23.77,20.55,22.16,24.15,5.73,27.01,21.28
2022,8,11,24.27,21.67,22.98,24.76,4.79,27.12,22.33
2022,8,12,24.51,21.73,23.12,24.76,5.29,27.59,22.3
2022,8,13,24.24,20.08,22.16,24.22,4.39,26.92,22.54
2022,8,14,23.8,19.64,21.72,23.8,4.51,26.51,21.99
2022,8,15,23.8,19.3,21.55,23.76,4.86,26.71,21.85
2022,8,16,23.65,19.28,21.47,23.65,5.2,26.61,21.4
2022,8,17,24.0,20.69,22.34,24.05,4.2,26.69,22.48
2022,8,18,23.73,19.8,21.76,23.83,4.39,26.48,22.08
2022,8,19,23.63,19.93,21.78,23.79,5.41,26.76,21.35
2022,8,20,23.62,19.94,21.79,23.8,5.1,26.55,21.44
2022,8,21,23.87,20.86,22.37,24.36,4.88,26.75,21.87
2022,8,22,23.9,21.47,22.69,24.44,4.14,26.44,22.3
2022,8,23,24.11,22.29,23.19,24.46,3.07,25.94,22.88
2022,8,24,23.72,20.71,22.21,24.14,4.67,26.38,21.71
2022,8,25,23.18,19.73,21.45,23.61,4.41,25.8,21.38
2022,8,26,23.66,20.44,22.05,23.95,4.81,26.44,21.63
2022,8,27,24.08,21.3,22.69,24.32,4.14,26.76,22.62
2022,8,28,24.04,20.74,22.39,24.29,4.83,26.96,22.13
2022,8,29,23.68,20.81,22.24,24.12,4.88,26.48,21.6
2022,8,30,23.94,20.76,22.35,24.38,4.0,26.44,22.44
2022,8,31,23.53,20.6,22.06,24.15,4.64,26.27,21.63
2022,9,1,23.87,20.6,22.23,24.27,4.73,26.76,22.03
